time,tau,omega_2
172.0795888,0,4.46987177
172.3295888,0,4.695384438
172.5795888,0,4.307809677
172.8295888,0,4.715367646
173.0795888,0,4.703747039
173.3295888,0,4.591225288
173.5795888,0,4.536323262
173.8295888,0,4.220514202
174.0795888,0,4.625653557
174.3295888,0,4.483656152
174.5795888,0,4.386227834
174.8295888,0,4.596476988
175.0795888,0,4.605604184
175.3295888,0,4.884520914
175.5795888,0,4.505058489
175.8295888,0,4.145594489
176.0795888,0,4.149759796
176.3295888,0,4.20965948
176.5795888,0,4.204367857
176.8295888,0,4.34805815
177.0795888,0,4.645988107
177.3295888,0,4.333842426
177.5795888,0,4.306424645
177.8295888,0,4.12825699
178.0795888,0,4.536718785
178.3295888,0,4.471219202
178.5795888,0,4.378551511
178.8295888,0,4.444635993
179.0795888,0,4.34888877
179.3295888,0,4.564507595
179.5795888,0,4.867897809
179.8295888,0,4.527680148
180.0795888,0,4.669428986
180.3295888,0,4.539869241
180.5795888,0,4.456426104
180.8295888,0,4.881294738
181.0795888,0,4.096368791
181.3295888,0,4.332768878
181.5795888,0,4.704456868
181.8295888,0,4.37953464
182.0795888,0,4.535662692
182.3295888,0,4.340121838
182.5795888,0,4.714924683
182.8295888,0,4.602718367
183.0795888,0,4.31611882
183.3295888,0,4.366527309
183.5795888,0,4.296334096
183.8295888,0,4.553582585
184.0795888,0,3.943968635
184.3295888,0,4.59344052
184.5795888,0,4.082352048
184.8295888,0,3.991941492
185.0795888,0,4.356916406
185.3295888,0,4.671277618
185.5795888,0,4.743941694
185.8295888,0,4.682704973
186.0795888,0,4.122763644
186.3295888,0,4.591672051
186.5795888,0,4.296245152
186.8295888,0,3.900331707
187.0795888,0,4.629415473
187.3295888,0,4.179900654
187.5795888,0,4.148558545
187.8295888,0,4.055548729
188.0795888,0,4.332585073
188.3295888,0,4.65974462
188.5795888,0,4.105794587
188.8295888,0,4.765032081
189.0795888,0,4.28419039
189.3295888,0,4.349989063
189.5795888,0,4.491256471
189.8295888,0,4.711054888
190.0795888,0,4.219327705
190.3295888,0,4.757881945
190.5795888,0,4.49374046
190.8295888,0,4.108015463
191.0795888,0,4.086695687
191.3295888,0,4.23513007
191.5795888,0,4.265155834
191.8295888,0,4.768104397
192.0795888,0,4.080507944
192.3295888,0,4.980032052
192.5795888,0,3.827415761
192.8295888,0,4.323704622
193.0795888,0,4.301680069
193.3295888,0,4.431119603
193.5795888,0,4.462654033
193.8295888,0,4.197567357
194.0795888,0,4.458260209
194.3295888,0,4.030364601
194.5795888,0,4.202421001
194.8295888,0,4.676052739
195.0795888,0,4.559105896
195.3295888,0,4.163785094
195.5795888,0,4.676067196
195.8295888,0,4.333827629
196.0795888,0,4.378114235
196.3295888,0,4.464190253
196.5795888,0,4.402857925
196.8295888,0,4.830924627
197.0795888,0,4.380945282
197.3295888,0,4.394273755
197.5795888,0,4.308507888
197.8295888,0,4.078963065
198.0795888,0,4.442682616
198.3295888,0,4.475870189
198.5795888,0,4.473758494
198.8295888,0,4.487912206
199.0795888,0,4.564065925
199.3295888,0,4.208114802
199.5795888,0,4.474260518
199.8295888,0,4.482942376
200.0795888,0,4.272915545
200.3295888,0,4.355775272
200.5795888,0,4.198153162
200.8295888,0,4.438393597
201.0795888,0,4.29194588
201.3295888,0,4.743280058
201.5795888,0,4.452744524
201.8295888,0,4.298137283
202.0795888,0,4.21363689
202.3295888,0,3.825644796
202.5795888,0,4.403173535
202.8295888,0,4.201241971
203.0795888,0,4.404294429
203.3295888,0,4.056635743
203.5795888,0,4.51388046
203.8295888,0,4.223686816
204.0795888,0,4.438097543
204.3295888,0,4.203620274
204.5795888,0,4.342471794
204.8295888,0,4.598353029
205.0795888,0,4.369770872
205.3295888,0,4.420608475
205.5795888,0,4.60596598
205.8295888,0,4.266787628
206.0795888,0,4.447355196
206.3295888,0,4.568592305
206.5795888,0,4.583222316
206.8295888,0,4.481681798
207.0795888,0,4.890581146
207.3295888,0,4.1001744
207.5795888,0,4.186019658
207.8295888,0,4.413138396
208.0795888,0,4.263653666
208.3295888,0,4.452572915
208.5795888,0,4.0791632
208.8295888,0,4.36992847
209.0795888,0,4.524923506
209.3295888,0,4.151784069
